link,name
/collections/smart-watches/products/loop-pro-smart-watch,Loop Pro Smart Watch
/collections/smart-watches/products/thunder-smart-watch,Thunder Smart Watch
/collections/smart-watches/products/titan-smart-watch,Titan Amoled Smart Watch
/collections/smart-watches/products/alpha-fit,Alpha Fit Smart Watch
/collections/smart-watches/products/rex-fit,Rex Fit Smart Watch
/collections/smart-watches/products/pulse-pro-smart-watch,Pulse Pro Amoled Smart Watch
/collections/smart-watches/products/d-force-smart-watch,D-Force Smart Watch
/collections/smart-watches/products/classic-pro-smart-watch,Classic Pro Smart Watch
/collections/smart-watches/products/callfit-5-smart-watch,Call Fit 5 Smart Watch
/collections/smart-watches/products/smart-fit-3-smart-watch,Smart Fit 3 Smart Watch
/collections/smart-watches/products/evolution,Evolution Smart Watch
