link,name
https://www.oppo.com/pk/smartphones/series-reno/reno6-pro-5g,OPPO Reno6 Pro
https://www.oppo.com/pk/smartphones/series-reno/reno6,OPPO Reno6
https://www.oppo.com/pk/smartphones/series-f/f21-pro-5g/,OPPO F21 Pro 5G
https://www.oppo.com/pk/smartphones/series-f/f21-pro/,OPPO F21 Pro
https://www.oppo.com/pk/smartphones/series-f/f19-pro/,OPPO F19 Pro
https://www.oppo.com/pk/smartphones/series-f/f19/,OPPO F19
https://www.oppo.com/pk/smartphones/series-a/a78/,OPPO A78
https://www.oppo.com/pk/smartphones/series-a/a58/,OPPO A58
https://www.oppo.com/pk/smartphones/series-a/a77s/,OPPO A77s
https://www.oppo.com/pk/smartphones/series-a/a77/,OPPO A77
https://www.oppo.com/pk/smartphones/series-a/a17/,OPPO A17
https://www.oppo.com/pk/smartphones/,See All Smartphones
