link,name
/pages/redmi-buds-5-overview,Redmi Buds 5
/products/redmi-buds-5-pro,Redmi Buds 5 Pro
/products/redmi-buds-4-lite,Redmi Buds 4 Lite
/products/redmi-buds-4-active,Redmi Buds 4 Active
/pages/redmi-buds-essential-overview,Redmi Buds Essential
/pages/piston-basic-hand-free,Piston Basic (Handsfree)
/products/xiaomi-buds-4-pro,Xiaomi Buds 4 Pro
/pages/redmi-buds-4-pro-overview,Redmi Buds 4 Pro
/pages/redmi-buds-4-overview,Redmi Buds 4
/pages/xiaomi-buds-3,Xiaomi Buds 3
/pages/mi-true-wireless-earphones-2-basic,Mi True Wireless Earphones 2 basic
/pages/redmi-buds-3,Redmi Buds 3
/pages/redmi-buds-3-pro,Redmi Buds 3 Pro
/pages/xiaomi-buds-3t-pro,Xiaomi Buds 3T pro
/pages/redmi-buds-3-lite,Redmi Buds 3 Lite
/pages/mi-true-wireless-earphones-2s,Mi True Wireless Earphones 2S
/pages/redmi-airdots-2,Mi True Wireless Earbuds Basic 2 (AIRDOTS 2)
/pages/xiaomi-flipbuds-pro,Xiaomi FlipBuds Pro
/products/mi-sports-bluetooth-earphones,Mi Sports Bluetooth Earphones
