Display:,Refresh Rate:,Brightness:,Processor:,CPU,GPU:,Rear Camera:,Front Camera:,Battery & Charging:,Water and Dust Resistant:,Security:,Network & Connectivity:,Sensors:,Operating System:,Audio:,Navigation & Positioning:,Dimensions:
"  6.67"" AMOLED display", Up to 120Hz," 500nits(typ),1000nits(HBM brightness),1300nits(peak brightness)", MediaTek Helio G99-Ultra,": Octa-core processor, up to 2.2GHz", Mali-G57 MC2,  Triple Camera | Flagship-level | OIS Anti-shake Main camera200MP main camera | 2MP macro camera | 8MP ultra wide camera, 16MP camera, 5000mAh battery (typ) | Supports 67W turbo charging  | 67W in-box charger |  USB-C, IP54, In-screen fingerprint sensor | AI face unlock," SIM1 + Hybrid* (SIM or MicroSD), supports 4G/ 3G/ 2G)",  Proximity sensor | Ambient light sensor | Accelerometer | Electronic compass | IR blaster | Gyroscope, MIUI 14, Dual Speaker | Dolby Atmos® | 3.5mm headphone jack, GPS: L1 | GLONASS: G1 | BDS: B1 | Galileo E1, Height: 161.1mm - Width: 74.95mm - Thickness: 7.98mm - Weight: 188g
"  6.67"" AMOLED display", Up to 120Hz," 500nits(typ),1000nits(HBM brightness),1300nits(peak brightness)", MediaTek Helio G99-Ultra,": Octa-core processor, up to 2.2GHz", Mali-G57 MC2,  Triple Camera | Flagship-level | OIS Anti-shake Main camera200MP main camera | 2MP macro camera | 8MP ultra wide camera, 16MP camera, 5000mAh battery (typ) | Supports 67W turbo charging  | 67W in-box charger |  USB-C, IP54, In-screen fingerprint sensor | AI face unlock," SIM1 + Hybrid* (SIM or MicroSD), supports 4G/ 3G/ 2G)",  Proximity sensor | Ambient light sensor | Accelerometer | Electronic compass | IR blaster | Gyroscope, MIUI 14, Dual Speaker | Dolby Atmos® | 3.5mm headphone jack, GPS: L1 | GLONASS: G1 | BDS: B1 | Galileo E1, Height: 161.1mm - Width: 74.95mm - Thickness: 7.98mm - Weight: 188g
"  6.67"" AMOLED Display",,, Snapdragon® 685 | 6nm manufacturing process technology,": Octa-core , up to 2.8GHz", Adreno 610, Triple Camera108MP main camera | 2MP macro camera | 8MP ultra wide camera, 16MP Front camera, 5000mAh (typ) | Supports 33W Fast charging  | 33W Fast charger in-box |  USB-C, IP54, In-screen fingerprint sensor | AI face unlock, SIM 1 + Hybrid (SIM or MicroSD) | Supports 4G / 3G / 2G, Proximity sensor | Ambient light sensor | Accelerometer | Electronic compass | IR blaster | Gyroscope, MIUI 14, Dual Speakers | Dolby Atmos® | 3.5mm headphone jack, GPS: L1 | GLONASS: G1 | BDS: B1I | Galileo E1, Height: 162.24mm - Width: 75.55mm - Thickness: 7.97mm Weight: 188.5g
"  6.67"" CrystalRes AMOLED display", Up to 120Hz,  1800nits peak brightness, MediaTek Dimensity 7200-Ultra,": Octa-core processor, up to 2.8GHz", Mali-G610, Triple Camera200MP main camera | 2MP macro camera | 8MP ultra wide camera, 16MP Front camera, 5000mAh (typ) | Supports 120W Hyper Charge | 120W in-box charger|  USB-C, IIP68, In-screen fingerprint sensor | AI face unlock, Dual SIM (nano SIM + nano SIM or nano SIM + eSIM), Proximity sensor | Ambient light sensor | Accelerometer | Electronic compass | IR blaster | Gyroscope | X-axis linear motor, MIUI 14, Dual Speakers | Supports Dolby Atmos®, Beidou:B1I｜GPS:L1｜Galileo:E1 | GLONASS:G1｜QZSS:L1 | AGNSS:A-GPS/A-GLONASS/A-BDS | Wireless network | Data network｜Sensor Assisted Positioning, Height: 161.4mm - Width: 74.2mm - Thickness: 8.9mm- Weight:204.5g
"  6.67"" FHD+ Flow AMOLED DotDisplay",," 1000 nits(HBM), 1300 nits(peak)", Helio G99-Ultra,: Octa-core processor, ARM Mali-G57 MC2, Triple Camera | 64MP mode | Night mode | Document mode | Film Camera | Portrait mode | 2MP macro camera | 8MP ultra wide camera, 16MP Front camera | Night Mode | Time Lapse | Portrait Mode, 5000mAh (typ) | 67W Wired turbo charging  | 67W in-box charger |  USB-C,, In-screen fingerprint sensor | AI face unlock," SIM1 + Hybrid* (SIM or MicroSD), supports dual 4G)",  Proximity sensor | Ambient light sensor | Accelerometer | Electronic compass | IR blaster ｜Gyroscope | Z-axis linear vibration motor, MIUI 14 for POCO, Dual Speaker | 3.5mm headphone jack | Supports MP3 | FLAC | AAC | OGG | WAV, GPS: L1 ｜GLONASS: G1 | BDS: B1 | Galileo: E1, Height: 161.1mm - Width: 74.95mm - Thickness: 7.98mm - Weight: 179g
 6.52” HD+ Dot Drop display1600 x 720 HD+,,, MediaTek Helio A22,,, 8MP main camera - HDR Mode, 5MP,,, Rear fingerprint sensor,, Accelerometer, Android 12 (Go Edition), 3.5mm headphone jack, GPS L1 | Glonass G1 | BDS B1I | Galileo E1,
" 6.74"" Dot Drop display", Up to 90HzCorning® Gorilla® Glass screen, 450 nits (typ) | 600 nits HBM, MediaTek Helio G85 processor - 12nm process | octa-core,,, Film Camera | HDR mode | Night mode | Portrait mode | 50MP mode | Time-lapse50MP main camera | 2MP macro camera | Auxiliary lens, 8MP front CameraBattery & Charging: 5000mAh (typ) | Supports 18W PD charging | USB Type-C,,, Side fingerprint sensor | AI face unlock, Dual SIM + microSD | Supports 4G / 3G / 2G, Virtual proximity sensor | Ambient light sensor | Accelerometer | Electronic compass, MIUI 14 based on Android 13, 3.5mm headphone jack, GPS | Glonass | Galileo | Beidou, Height: 168mm - Width: 78mm - Thickness: 8.09mm - Weight: 192g
 6.52” HD+ Dot Drop display 1600 x 720 HD+,,,,,, 8MP main camera, 5MP,,, Rear fingerprint sensor, Dual SIM + microSD | 2G: 3G: 4G, Accelerometer, Android 12 (Go Edition), 3.5mm headphone jack, GPS L1 | Glonass G1 | BDS B1I | Galileo E1,
,,,,,,,,,,,,,,,,
" 6.67"" AMOLED DotDisplay - SGS Eye Care Display",,,,,,, 13MP front camera,,,,,,, 3.5mm headphone jack,,
