model,name
EF-PF731TNEGWW,Galaxy Z Flip5 Silicone Case with Ring
EF-OF94PCBEGWW,Galaxy Z Fold5 Slim S Pen Case
EF-VF721LBEGWW,Galaxy Z Flip4 Flap Leather Cover
ET-SHR89LAEGWW,Galaxy Watch4 Hybrid Leather Band
EP-N5200TBEGWW,Wireless Charger Stand(15W)
EP-P6300TWEGEU,Samsung Wireless charger Trio
EF-VS908LBEGWW,Galaxy S22 Ultra Leather Cover
EP-TA220NBEGAE,35W Power Adapter Duo_TA220
EB-P1100BSEGWW,Samsung Battery Pack
EB-P1100CSEGWW,Battery Pack(10.0A 15W 2Port)_P1100
EP-TA800XWEGWW,Wall Charger for Super Fast Charging (25W)
EP-TA845XWEGWW,Travel Adapter (45W)
EI-T5300BBEGWW,Galaxy SmartTag
EB-U1200CSEGWW,Wireless Battery Pack
EP-N3300TBEGWW,Wireless Charger Convertible (2020)
EO-HS1303BEGWW,In-Ear Headphones HS130
EF-XG955ALEGWW,S8+ Alcantara Cover
EF-GG965FJEGWW,S9+ Hyperknit Cover
EP-TA20EWECGWW,Travel Charging Adapter <br> 
EF-ZN950CBEGWW,Note 8 Clear View Standing Cover <br> 
EP-N5100TBEGWW,Wireless Charger
