model,name
SM-S928BZKQPKD,Galaxy S24 Ultra
SM-S921BZACPKD,Galaxy S24
SM-A256ELBDPKD,Galaxy A25 5G
SM-A155FZKGPKD,Galaxy A15
SM-A057FLVGPKD,Galaxy A05s
SM-A055FLGGPKD,Galaxy A05
SM-S711BLGBPKD,Galaxy S23 FE
SM-A546ELGDPKD,Galaxy A54 5G
SM-A346ELGEPKD,Galaxy A34 5G
SM-A245FLGVPKD,Galaxy A24
SM-F731BZAEPKD,Galaxy Z Flip5
SM-F946BZKGPKD,Galaxy Z Fold5
SM-A042FLBDMEB,Galaxy A04e
SM-A047FZKGPKD,Galaxy A04s
SM-A145FZKHPKD,Galaxy A14
SM-F936BZADPKD,Galaxy Z Fold4
SM-S918BZEQMEA,Galaxy S23 Ultra
SM-S911BZECMEA,Galaxy S23
SM-A045FZKGPKD,Galaxy A04
SM-F721BLBFPKD,Galaxy Z Flip4
SM-A736BLGHPKD,Galaxy A73 5G
SM-A536ELBGPKD,Galaxy A53 5G
SM-A336ELBHPKD,Galaxy A33 5G
SM-A235FLBKPKD,Galaxy A23
SM-S901EIDGPKD,Galaxy S22
SM-A135FLBGPKD,Galaxy A13
SM-A325FLVHPKD,Galaxy A32
SM-S908EDRGPKD,Galaxy S22 Ultra
SM-G990ELGGPKD,Galaxy S21 FE 5G
SM-A528BZKGMEB,Galaxy A52s 5G
SM-F926BZKDMEA,Galaxy Z Fold3 5G
SM-F711BZEEMEA,Galaxy Z Flip3 5G
SM-A225FLVGMEB,Galaxy A22 4GB RAM
SM-A225FLVHMEB,Galaxy A22 6GB 128GB
SM-FLIPB3,Galaxy  Z Flip3 bundle with Yellow leather cover
SM-FLIPB2,Galaxy  Z Flip3 bundle with Green leather cover
SM-FLIPB1,Galaxy  Z Flip3 bundle with Black leather cover
SM-A125FZBGMEB,Galaxy A12
SM-A127FZBGPKD,Galaxy A12
SM-A035FZBDPKD,Galaxy A03
SM-F900FZKDPAK,Galaxy Fold
SM-F700FZPDPAK,Galaxy Z Flip
SM-J260FAVDPAK,Galaxy J2 Core <br> 
SM-J410FZBDPAK,Galaxy J4 Core
SM-J610FZRDPAK,Galaxy J6+
SM-J415FZDDPAK,Galaxy J4+
SM-J810FZDGPAK,Galaxy J8
SM-J600FZKGPAK,Galaxy J6
SM-J400FZKDPAK,Galaxy J4
SM-J701FZKYPAK,Galaxy J7 Core
SM-J250FZDDPAK,Galaxy Grand Prime Pro
SM-J701FZDDPAK,Galaxy J7 Core (2017)
SM-J530FZDDPAK,Galaxy J5 Pro (2017)
SM-J730FZDDPAK,Galaxy J7 Pro (2017)
