model,name
SM-T225NZALMEB,Galaxy Tab A7 Lite LTE
SM-X205NZAEMEB,Galaxy Tab A8 LTE
SM-T295NZKAPAK,"Galaxy Tab A (8.0"", 2019) LTE"
SM-T515NZKDPAK,"Galaxy Tab A (2019, 10.1"")"
SM-T590NZAAPAK,"Galaxy Tab A (10.5"")  <br>  <br> "
SM-T595NZAAPAK,"Galaxy Tab A (10.5"") "
SM-T561NZWAPAK,"Galaxy Tab E (9.6"")"
SM-T560NZWAPAK,"Galaxy Tab E (9.6"")"
SM-T395NZKAPAK,Galaxy Tab Active 2
SM-P585NZWAPAK,"Galaxy Tab A (10.1"")"
SM-T585NZWAPAK,"Galaxy Tab A (10.1"")"
SM-T285NZKAPAK,"Galaxy Tab A (7.0"")"
