link,name
https://www.tecno-mobile.com/pak/spark-20-pro-plus#spec,SPARK 20 Pro+
https://www.tecno-mobile.com/pak/spark-20-pro#spec,SPARK 20 Pro
https://www.tecno-mobile.com/pak/spark-20#spec,SPARK 20
https://www.tecno-mobile.com/pak/pova-5-pro-5g#spec,POVA 5 Pro 5G
https://www.tecno-mobile.com/pak/phantom-v-flip#spec,PHANTOM V Flip
https://www.tecno-mobile.com/pak/camon-20-premier-5g#spec,CAMON 20 Premier 5G
https://www.tecno-mobile.com/pak/camon-20-pro#spec,CAMON 20 Pro
https://www.tecno-mobile.com/pak/camon-20#spec,CAMON 20
https://www.tecno-mobile.com/pak/phantom-v-fold#spec,Phantom V Fold
https://www.tecno-mobile.com/pak/spark-10#spec,SPARK 10
https://www.tecno-mobile.com/pak/spark-10c#spec,SPARK 10C
https://www.tecno-mobile.com/pak/spark-10-pro#spec,SPARK 10 Pro
