brand,url,name,price,image,dimensions,weight,os,generation,screenSize,resolution,touchScreen,backlitKeyboard,internalMemory,ram,graphicsCard,processorType,processorSpeed,battery,BT,wifi,USB,camera,fingerPrintReader
lenovo,"https://priceoye.pk/laptops/lenovo/lenovo-v15-g3-15-6-inches-12th-gen-core-i3-dos-4gb-256gb-ssd
","lenovo v15 g3 15 6 inches 12th gen core i3 dos 4gb 256gb ssd
","Rs  132,999",https://images.priceoye.pk/lenovo-v15-g3-15-6-inches-12th-gen-core-i3-dos-4gb-256gb-ssd-pakistan-priceoye-8hpny-500x500.webp,359.2 x 236.5 x 19.9 mm,1.7 kg,DOS,12th Gen,15.6 Inches,1920 x 1080 Pixels,No,No,256 GB SSD,4 GB,Intel Iris Xe Graphics,Core i3,up to 4.40 GHz,38Wh,Yes,Yes,1x USB 2.0 1x USB 3.2 Gen 1,No,720p with Privacy Shutter
hp,"https://priceoye.pk/laptops/hp/hp-laptop-15s-fq5276nia-i3-12th-gen-4gb-256gb
","hp laptop 15s fq5276nia i3 12th gen 4gb 256gb
","Rs  109,999",https://images.priceoye.pk/hp-laptop-15s-fq5276nia-i3-12th-gen-4gb-256gb-pakistan-priceoye-7tu3c-500x500.webp,35.85 x 24.2 x 1.79 cm,1.69 kg,FreeDOS 3.0,12th Generation,15.6,1920 x 1080,No,N/A,256 GB PCIe® NVMe™ M.2 SSD,4GB RAM,"Integrated,  Intel® UHD Graphics",Intel® Integrated SoC,"Intel® Core™ i3-1215U (up to 4.4 GHz with Intel® Turbo Boost Technology, 10 MB L3 cache, 6 cores, 8 threads) 1 2","3-cell, 41 Wh Li-ion",Yes,Yes,Yes,N/A,HP True Vision 720p HD camera with temporal noise reduction and integrated dual array digital microphones
dell,"https://priceoye.pk/laptops/dell/dell-latitude-3540-15-6-inches-13th-gen-core-i5-dos-8gb-256gb
","dell latitude 3540 15 6 inches 13th gen core i5 dos 8gb 256gb
","Rs  226,999",https://images.priceoye.pk/dell-latitude-3540-15-6-inches-13th-gen-core-i5-dos-8gb-256gb-pakistan-priceoye-7yzsb-500x500.webp,359.0 x 20.4 x 239.7 mm,1.81 kg,DOS,13th Generation,15.6 Inches,1920 x 1080,No,"English US backlit keyboard with numeric keypad, 99-key",256 GB SSD,8 GB,Intel Iris Xe Graphics as UHD Graphics,Intel Core i5 - 1335U,"1.3 GHz Boost up to 4.6 GHz (Total Cores 10, # of Performance-cores 2, # of Efficient-cores 8, Total Threads 12)","3-cell, 42 Wh, Express Charge 1.0",Yes,Yes,1 USB 3.2 Gen 2 Type-C® port with DisplayPort Alt mode/Power Delivery 2 USB 3.2 Gen 1 port 1 USB 3.2 Gen 1 port with PowerShare,Yes,720p at 30 fps HD camera
hp,"https://priceoye.pk/laptops/hp/hp-laptop-eq2180au-15-6-inches-amd-ryzen-5-8gb-ram-512gbssd
","hp laptop eq2180au 15 6 inches amd ryzen 5 8gb ram 512gbssd
","Rs  194,999",https://images.priceoye.pk/hp-laptop-eq2180au-15-6-inches-amd-ryzen-5-8gb-ram-512gbssd-pakistan-priceoye-og2om-500x500.webp,N/A,1.69 kg,Genuine Windows 11 Home,AMD,15.6,1920x1080,No,N/A,512 GB,8 GB,AMD Radeon™ Graphics,AMD® Ryzen 5 5500U Hexa-Core Processor,"2.1 GHz up to 4.0 GHz max boost clock, 8 MB L3 cache, 6 cores, 12 threads)",N/A,Bluetooth 5.0,Yes,1 SuperSpeed USB Type-C® 5Gbps signaling rate; 2 SuperSpeed USB Type-A 5Gbps signaling rate,N/A,HP True Vision 720p HD camera with integrated dual array digital microphones
dell,"https://priceoye.pk/laptops/dell/dell-latitude-15-3540-15-6-inches-13th-gen-core-i7-dos-8gb-512gb
","dell latitude 15 3540 15 6 inches 13th gen core i7 dos 8gb 512gb
","Rs  319,999",https://images.priceoye.pk/dell-latitude-15-3540-15-6-inches-13th-gen-core-i7-dos-8gb-512gb-pakistan-priceoye-02rpm-500x500.webp,N/A,1.81 kg,DOS,13th Generation,15.6 Inches,1920 x 1080,Non-Touch,"English US backlit keyboard with numeric keypad, 99-key",512 GB SSD,08 GB,Intel Iris Xe Graphics as UHD Graphics,Core i7 1355u Raptor Lake Processor (12 MB Intel Smart Cache),"1.7 GHz Boost up to 5.0 GHz (Total Cores 10, # of Performance-cores 2, # of Efficient-cores 8, Total Threads 12)",N/A,Yes,Yes,1 USB 3.2 Gen 2 Type-C® port with DisplayPort Alt mode/Power Delivery 2 USB 3.2 Gen 1 port 1 USB 3.2 Gen 1 port with PowerShare,null,Yes
dell,"https://priceoye.pk/laptops/dell/dell-inspiron-3520-core-i7-12th-gen-8gb-512gb-ssd
","dell inspiron 3520 core i7 12th gen 8gb 512gb ssd
","Rs  187,499",https://images.priceoye.pk/dell-inspiron-3520-core-i7-12th-gen-8gb-512gb-ssd-pakistan-priceoye-r1hs0-500x500.webp,N/A,N/A,Windows 11,12th Gen,15.6 Inches,1920 x 1080,No,N/A,512 GB,8 GB,Intel UHD Graphics,Intel Core i7 12th Generation,"Intel Core i7-1255U (up to 4.70GHz, 12MB Cache)",Li-Po battery,Yes,Yes,Yes,N/A,Yes
hp,"https://priceoye.pk/laptops/hp/hp-probook-450-g9-15-6-inches-12th-gen-core-i5-backlit-keyboard-win-11-8gb-512gb
","hp probook 450 g9 15 6 inches 12th gen core i5 backlit keyboard win 11 8gb 512gb
","Rs  239,999",https://images.priceoye.pk/hp-probook-450-g9-15-6-inches-12th-gen-core-i5-backlit-keyboard-windows-11-8gb-512gb-pakistan-priceoye-zvh6q-500x500.webp,359.4 x 233.9 x 19.9 mm,1.74 Kg,Windows 11 Home,12th Generation,15.6 Inches,1920 x 1080,No,Yes,512 GB SSD,8 GB,"Integrated, Intel® Iris® Xᵉ Graphics",Intel® Core™ i5-1235U,"up to 4.4 GHz with Intel® Turbo Boost Technology, 12 MB L3 cache, 10 cores, 12 threads","3-cell, 42 Wh Li-ion",Yes,Yes,"1 USB Type-C® 10Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4); 3 USB Type-A 5Gbps signaling rate (1 charging, 1 power); 1 AC power; 1 HDMI 2.1b; 1 stereo headphone/microphone combo jack; 1 RJ-45",Yes,720p HD privacy camera
hp,"https://priceoye.pk/laptops/hp/hp-pavilion-15-eg3020tx-15-6-inches-13th-gen-core-i7-win-11-16gb-512gb
","hp pavilion 15 eg3020tx 15 6 inches 13th gen core i7 win 11 16gb 512gb
","Rs  339,999",https://images.priceoye.pk/hp-pavilion-15-eg3020tx-15-6-inches-13th-gen-core-i7-windows-11-16gb-512-pakistan-priceoye-7ap8r-500x500.webp,360.2 x 234 x 17.9,1.74 kg,Windows 11 Home,13th Generation Intel,15.6 Inches,1920 x 1080,Non-Touch,"Full-size, backlit, cloud blue keyboard with numeric keypad",512 GB,16 GB,NVIDIA® GeForce® MX550 (2 GB GDDR6 dedicated),Intel Core i7-1355U (up to 5.0 GHz with Intel,"Turbo Boost Technology, 12 MB L3 cache, 10 cores, 12 threads)","3-cell, 41 Wh Li-ion",Yes,Yes,"1 USB Type-C® 10Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4, HP Sleep and Charge); 2 USB Type-A 5Gbps signaling rate; 1 HDMI 2.1; 1 AC smart pin; 1 headphone/microphone combo",Yes,HP Wide Vision 720p HD camera with temporal noise reduction and integrated dual array digital microphones
hp,"https://priceoye.pk/laptops/hp/hp-15-dy5131wm-laptop-12thgen-core-i3-8gb-ram-256gb-ssd
","hp 15 dy5131wm laptop 12thgen core i3 8gb ram 256gb ssd
","Rs  109,999",https://images.priceoye.pk/hp-15-dy5131wm-laptop-12thgen-core-i3-8gb-ram-256gb-ssd-pakistan-priceoye-7o93t-500x500.webp,35.85 x 24.2 x 1.79 cm,1.69 kg,Windows 11 Home in S mode 1,12th Gen,15.6,"diagonal, FHD (1920 x 1080)","anti-glare, 250 nits, 45% NTSC 4",N/A,256 GB PCIe® NVMe™ M.2 SSD,8 GB,"Integrated,  Intel® UHD Graphics",12th Generation Intel® Core™ i3 processor,"Intel® Core™ i3-1215U (up to 4.4 GHz with Intel® Turbo Boost Technology, 10 MB L3 cache, 6 cores, 8 threads) 2 3","3-cell, 41 Wh Li-ion",Yes,Yes,Yes,Fingerprint reader,HP True Vision 720p HD camera with temporal noise reduction and integrated dual array digital microphones
lenovo,"https://priceoye.pk/laptops/lenovo/lenovo-ideapad-5-15-6-inches-11th-gen-core-i5-dos-8gb-512gb
","lenovo ideapad 5 15 6 inches 11th gen core i5 dos 8gb 512gb
","Rs  166,999",https://images.priceoye.pk/lenovo-ideapad-5-15-6-inches-11th-gen-core-i5-dos-8gb-512gb-pakistan-priceoye-lbcas-500x500.webp,356.67 x 233.13 x 17.9-19.9 mm,1.66 kg,DOS,11th Generation,15.6 Inches,1920 x 1080 Pixels,Non-Touch,Yes,512 GB SSD,8 GB,N/A,Core i5,"2.40 GHz, up to 4.20 GHz with Turbo Boost",57 Wh,Yes,Yes,Yes,No,Yes
lenovo,"https://priceoye.pk/laptops/lenovo/lenovo-thinkpad-e14-g4-14-inches-12th-gen-core-i7-backlit-keyboard-dos-8gb-512gb
","lenovo thinkpad e14 g4 14 inches 12th gen core i7 backlit keyboard dos 8gb 512gb
","Rs  289,999",https://images.priceoye.pk/lenovo-thinkpad-e14-g4-14-inches-12th-gen-core-i7-8gb-512gb-pakistan-priceoye-7fz2s-500x500.webp,18.9 x 365 x 240 mm,1.70 Kg,DOS,12th Generation,14 Inches,1920 x 1080,No,"Backlit, US English",512 GB SSD,8 GB,Intel Iris Xe Graphics,Intel Core i7-1255u Processor,1.1 GHz Turbo Boost Up to 4.7 GHz,45 Wh,Yes,Yes,"1x USB 2.0 1x USB 3.2 Gen 1 (Always On) 1x Thunderbolt 4 / USB 4 40Gbps (support data transfer, Power Delivery 3.0, and DisplayPort 1.4)","Yes , Touch Style",Camera privacy shutter
lenovo,"https://priceoye.pk/laptops/lenovo/lenovo-v15-g3-15-6-inches-12th-gen-core-i5-dos-4gb-256gb
","lenovo v15 g3 15 6 inches 12th gen core i5 dos 4gb 256gb
","Rs  179,999",https://images.priceoye.pk/lenovo-v15-g3-15-6-inches-12th-gen-core-i5-dos-4gb-256gb-pakistan-priceoye-0s1os-500x500.webp,null,1.7 Kg,DOS,12th Generation,15.6 Inches,1920 x 1080 Pixels,Non-Touch,No,256 GB SSD,4 GB,Integrated Intel Iris Xe Graphics Functions as UHD Graphics,Intel Core i5-1235u,1.30 GHz up to 4.40 GHz Turbo,38Wh,Yes,Yes,"1x USB 2.0 1x USB 3.2 Gen 1 1x USB-C® 3.2 Gen 1 (support data transfer, Power Delivery 3.0 and DisplayPort™ 1.2)",No,Yes
lenovo,"https://priceoye.pk/laptops/lenovo/lenovo-ideapad-slim-3-core-i5-13th-gen-8gb-512gb
","lenovo ideapad slim 3 core i5 13th gen 8gb 512gb
","Rs  159,999",https://images.priceoye.pk/lenovo-ideapad-slim-3-core-i5-13th-gen-8gb-512gb-pakistan-priceoye-efn27-500x500.webp,N/A,1.62 kg,Dos,13 Gen,15.6,1920x1080,No,"Non-backlit, English (EU)",512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,8 GB,Integrated Intel® UHD Graphics,13th Gen Core i5 13420H Raptor Lake Processor (12 MB Intel Smart Cache),"1.5 GHz Boost up to 3.4 GHz (Total Cores 8, # of Performance-cores 4, # of Efficient-cores 4, Total Threads 12)",N/A,Yes,Yes,Yes,N/A,Yes
