brand,url,name,price,image,dimensions,weight,model,display,batteryCapacity,batteryType,inputPort,outputPort
airox,"https://priceoye.pk/power-banks/airox/airox-fast-charging-supported-pd-power-bank-ar-989-10000mah
","airox fast charging supported pd power bank ar 989 10000mah
","Rs  2,099",https://images.priceoye.pk/airox-fast-charging-supported-pd-power-bank-ar-989-10000mah-pakistan-priceoye-tbpw5-500x500.webp,N/A,N/A,AR-989,N/A,10000mAh,N/A,N/A,N/A
airox,"https://priceoye.pk/power-banks/airox/airox-solar-power-bank-10000-mah
","airox solar power bank 10000 mah
","Rs  3,599",https://images.priceoye.pk/airox-solar-power-bank-10000-mah-pakistan-priceoye-16c9g-500x500.webp,N/A,N/A,Solar,No,10000mAh,Lithium Polymer,USB-C + type C,USB-C + type C
airox,"https://priceoye.pk/power-banks/airox/airox-pb05-transparent-pd-power-bank-22-5
","airox pb05 transparent pd power bank 22 5
","Rs  3,249",https://images.priceoye.pk/airox-pb05-transparent-pd-power-bank-22-5-pakistan-priceoye-te80u-500x500.webp,N/A,N/A,PB05,Yes,10000mAh,Lithium Polymer,N/A,N/A
audionic,"https://priceoye.pk/power-banks/audionic/audionic-benz-icon-10000-mah-power-bank
","audionic benz icon 10000 mah power bank
","Rs  3,199",https://images.priceoye.pk/audionic-benz-icon-10000-mah-power-bank-pakistan-priceoye-ik9dw-500x500.webp,NA,NA,Benz Icon,Yes,10000 mAh,Lithium,3,4
audionic,"https://priceoye.pk/power-banks/audionic/audionic-magneto-powerbank-power-bank-10000-mah
","audionic magneto powerbank power bank 10000 mah
","Rs  4,449",https://images.priceoye.pk/audionic-magneto-powerbank-power-bank-10000-mah-pakistan-priceoye-heyjn-500x500.webp,N/A,N/A,Magneto Powerbank.,Yes,10000mAh,Li-Polymer Battery,Type C,1 USB Ports + 1 Type C Port
audionic,"https://priceoye.pk/power-banks/audionic/audionic-benz-power-bank-10000-mah
","audionic benz power bank 10000 mah
","Rs  2,999",https://images.priceoye.pk/audionic-benz-power-bank-10000-mah-pakistan-priceoye-x0h37-500x500.webp,N/A,N/A,Benz,Yes,10000mAh,Li-Polymer Battery,"USB, Type C, USB",Multiple Ports
audionic,"https://priceoye.pk/power-banks/audionic/audionic-spark-s-10-power-bank-10000-mah
","audionic spark s 10 power bank 10000 mah
","Rs  3,499",https://images.priceoye.pk/audionic-spark-s-10-power-bank-10000-mah-pakistan-priceoye-3qe47-500x500.webp,N/A,N/A,Spark S-10,Yes,10000mAh,Li-Polymer Battery,Multiple Ports,22.5 W
airox,"https://priceoye.pk/power-banks/airox/airox-all-in-one-power-bank-ar961
","airox all in one power bank ar961
","Rs  2,799",https://images.priceoye.pk/airox-all-in-one-power-bank-ar961-pakistan-priceoye-8p26s-500x500.webp,N/A,N/A,AR961),No,10000mAh,Lithium Polymer,USB-C + type C,USB-C + type C
airox,"https://priceoye.pk/power-banks/airox/airox-fast-charging-power-bank-pb06-20000mah-22-5-watt-pd
","airox fast charging power bank pb06 20000mah 22 5 watt pd
","Rs  4,899",https://images.priceoye.pk/airox-fast-charging-power-bank-pb06-20000mah-22-5-watt-pd-pakistan-priceoye-1j8ol-500x500.webp,N/A,N/A,PB06,Yes,20000mAh,Lithium Polymer,N/A,22.5 W
airox,"https://priceoye.pk/power-banks/airox/airox-pb07-10000mah-smart-powerbank
","airox pb07 10000mah smart powerbank
","Rs  2,999",https://images.priceoye.pk/airox-pb07-10000mah-smart-powerbank-pakistan-priceoye-nmvvi-500x500.webp,N/A,N/A,PB07,Yes,10000mAh,Lithium Polymer,Lightning + USB Type-C,Lightning + USB Type-C
