brand,url,name,price,image,simSupport,dimensions,strapMaterial,waterResistance,weight,os,speakers,mode,camera,screenSize,resulotion,screenType,ram,rom,wifi,gps,nfc,batteryCapacity,batteryLife
dany,"https://priceoye.pk/smart-watches/dany/dany-titan-amoled-smart-watch
","dany titan amoled smart watch
","Rs  8,899",https://images.priceoye.pk/dany-titan-amoled-smart-watch-pakistan-priceoye-zlpxo-500x500.webp,N/A,N/A,Silicone,IP67,N/A,"Android 5.0 and Above, iOS 10.0+ and Above",Yes,100+ Sports Modes,N/A,1.43 Inches,360*360 Pixels,Amoled HD Display,N/A,N/A,N/A,N/A,N/A,300mAh,5-7 Days
samsung,"https://priceoye.pk/smart-watches/samsung/samsung-galaxy-watch-6-classic-47mm
","samsung galaxy watch 6 classic 47mm
","Rs  69,999",https://images.priceoye.pk/samsung-galaxy-watch-6-classic-47mm-pakistan-priceoye-g776e-500x500.webp,N/A,46.5 x 46.5 x 10.9 mm,Silicon,50m water resistant (IP68),59 g,Proprietary OS,Yes,Multiple sports modes,N/A,1.5 inches,480 x 480 pixels,Super AMOLED,N/A,N/A,YES,No,No,Li-Ion 425 mAh,2-3 days
samsung,"https://priceoye.pk/smart-watches/samsung/samsung-galaxy-watch-4-classic-bluetooth-46mm-r890
","samsung galaxy watch 4 classic bluetooth 46mm r890
","Rs  37,999",https://images.priceoye.pk/samsung-galaxy-watch-4-classic-pakistan-priceoye-b353w-500x500.webp,No,45.5 x 45.5 x 11.0 mm,Fluoroelastomer material,Yes,52.0 g,Android Wear OS,Yes,"Accelerometer, Barometer, Gyro Sensor, Geomagnetic Sensor, Light Sensor, Optical Heart Rate Sensor, Electrical heart sensor, Bioelectrical Impedance Analysis Sensor, Hall Sensor",No,1.4 inches,450 x 450,Super AMOLED,1.5 GB,16 GB,802.11 a/b/g/n 2.4+5GHz,Yes,Yes,361 mAh,Up to 40 Hours
itel,"https://priceoye.pk/smart-watches/itel/itel-smart-watch-1
","itel smart watch 1
","Rs  5,999",https://images.priceoye.pk/itel-smart-watch-1-pakistan-priceoye-kl39x-500x500.webp,N/A,N/A,Silicon,YES,N/A,Proprietary OS,Yes,Multiple sports modes,N/A,1.7 inches,240 x 280,AMOLED,N/A,N/A,N/A,N/A,No,220 mAh,upto 7 days
samsung,"https://priceoye.pk/smart-watches/samsung/samsung-galaxy-fit-3
","samsung galaxy fit 3
","Rs  17,299",https://images.priceoye.pk/samsung-s-galaxy-fit-3-pakistan-priceoye-xr176-500x500.webp,N/A,N/A,Silicon,YES,N/A,Proprietary OS,Yes,Multiple sports modes,Yes,1.6-inch,256x402,sAMOLED,N/A,N/A,N/A,N/A,No,208mAh,Smart Battery Life
huawei,"https://priceoye.pk/smart-watches/huawei/huawei-band-8
","huawei band 8
","Rs  13,749",https://images.priceoye.pk/huawei-band-8-pakistan-priceoye-owg78-500x500.webp,N/A,43.45 × 24.54 × 8.99 mm,Silicon,5 ATM,14 g,Proprietary OS,N/A,Multiple sports modes,N/A,1.47 inch,194 × 368,AMOLED,N/A,N/A,N/A,N/A,No,N/A,9 days under typical usage ( 3 days when AOD is on.)
samsung,"https://priceoye.pk/smart-watches/samsung/samsung-galaxy-watch-5-pro-bluetooth
","samsung galaxy watch 5 pro bluetooth
","Rs  63,999",https://images.priceoye.pk/samsung-galaxy-watch-5-pro-bluetooth-pakistan-priceoye-yosyu-500x500.webp,No,43.3 x 44.4 x 9.8 mm,Maledan Silicone,5ATM,46.5 g (1.66 oz),"Android Wear OS 3.5, One UI Watch 4.5",Yes,"Accelerometer, Barometer, Gyro Sensor, Geomagnetic Sensor, Light Sensor, Optical Heart Rate Sensor, Electrical heart sensor, Bioelectrical Impedance Analysis Sensor",no,1.4 inches,450 x 450 pixels (~321 ppi density),Super AMOLED,1.5GB RAM,16GB,"Wi-Fi 802.11 a/b/g/n, dual-band",Yes,Yes,Li-Ion 590 mAh,Up to 40 Hours
dany,"https://priceoye.pk/smart-watches/dany/dany-d-force-smart-watch
","dany d force smart watch
","Rs  8,399",https://images.priceoye.pk/dany-d-force-smart-watch-pakistan-priceoye-r0ke1-500x500.webp,N/A,N/A,Silicon,IP67,N/A,Proprietary OS,Yes,Multiple sports modes,N/A,1.32 inches,N/A,IPS Display,N/A,N/A,N/A,N/A,No,N/A,2-3 days
ronin,"https://priceoye.pk/smart-watches/ronin/ronin-r-03-smart-watch
","ronin r 03 smart watch
","Rs  6,599",https://images.priceoye.pk/ronin-r-03-smart-watch-pakistan-priceoye-7i8wn-500x500.webp,N/A,N/A,"Silicone (1x Black Strap, 1x Blue Strap)",N/A,N/A,"iOS 12.0 or above, Android 6.0 or above",Yes,100+ Sports Modes,N/A,1.8 Inches,320*390 Pixels,TFT Screen,N/A,N/A,N/A,N/A,N/A,280mAh,7 Days Standby Time
ronin,"https://priceoye.pk/smart-watches/ronin/ronin-r-012-luxe-smart-watch
","ronin r 012 luxe smart watch
","Rs  11,499",https://images.priceoye.pk/ronin-r-012-luxe-smart-watch-pakistan-priceoye-3hzu6-500x500.webp,N/A,N/A,Steel,IP68,N/A,Proprietary OS,Yes,Multiple sports modes,N/A,1.43 inches,466x466,AMOLED,N/A,N/A,N/A,No,No,N/A,2-3 days
