brand,url,name,price,image,screenSize,screenType,resolution,3D,HD,4K,SmartTv
samsung,https://priceoye.pk/led-tv/samsung/samsung-55-inch-curved-4k-smart-led-tv-55q8cn,samsung 55 inch curved 4k smart led tv 55q8cn,"Rs  265,000",https://images.priceoye.pk/samsung-55-inch-curved-4k-smart-led-tv-55q8cn-pakistan-priceoye-5k3uf-500x500.webp,55 Inches,LED,3840 x 2160,No,Yes,Yes,null
samsung,https://priceoye.pk/led-tv/samsung/samsung-75-inch-4k-smart-led-tv-75ru7100,samsung 75 inch 4k smart led tv 75ru7100,"Rs  318,399",https://images.priceoye.pk/samsung-75-inch-4k-smart-led-tv-75ru7100-pakistan-priceoye-1fdur-500x500.webp,75 Inches,LED,1920 x 1080,No,Yes,Yes,Yes
samsung,https://priceoye.pk/led-tv/samsung/samsung-65-inch-4k-smart-led-tv-65ru7100,samsung 65 inch 4k smart led tv 65ru7100,"Rs  199,999",https://images.priceoye.pk/samsung-65-inch-4k-smart-led-tv-65ru7100-pakistan-priceoye-i5c7z-500x500.webp,65 Inches,LED,1920 x 1080,No,Yes,Yes,Yes
samsung,https://priceoye.pk/led-tv/samsung/samsung-20-inch-hd-led-tv-20j4003,samsung 20 inch hd led tv 20j4003,"Rs  17,099",https://images.priceoye.pk/samsung-20-inch-hd-led-tv-20j4003-pakistan-priceoye-j1igp-500x500.webp,20 Inch,LED,1366 x 768,No,Yes,No,No
samsung,https://priceoye.pk/led-tv/samsung/samsung-65-inch-4k-uhd-smart-qled-tv-65q6fn,samsung 65 inch 4k uhd smart qled tv 65q6fn,"Rs  237,990",https://images.priceoye.pk/samsung-65-inch-4k-uhd-smart-qled-tv-65q6fn-pakistan-priceoye-ib2tp-500x500.webp,65 Inches,LED,3840 x 2160,No,Yes,Yes,Yes
samsung,https://priceoye.pk/led-tv/samsung/samsung-55-inch-qled-4k-smart-tv-q70a,samsung 55 inch qled 4k smart tv q70a,"Rs  233,999",https://images.priceoye.pk/samsung-55-inch-qled-4k-smart-tv-q70a-pakistan-priceoye-dm5zi-500x500.webp,55 Inches,QLED,3840 x 2160,No,Yes,Yes,N/A
samsung,https://priceoye.pk/led-tv/samsung/samsung-75-inch-uhd-4k-smart-qled-tv-qn75q6fn,samsung 75 inch uhd 4k smart qled tv qn75q6fn,"Rs  700,000",https://images.priceoye.pk/samsung-75-inch-uhd-4k-smart-qled-tv-qn75q6fn-pakistan-priceoye-moyyx-500x500.webp,75 Inches,LED,3840 x 2160,No,Yes,Yes,Yes
samsung,https://priceoye.pk/led-tv/samsung/samsung-40-inch-smart-led-tv-40n5300,samsung 40 inch smart led tv 40n5300,"Rs  53,000",https://images.priceoye.pk/samsung-40-inch-smart-led-tv-40n5300-pakistan-priceoye-aew7q-500x500.webp,40 Inches,LED,1920 × 1080,No,Yes,No,Yes
samsung,https://priceoye.pk/led-tv/samsung/samsung-85-inch-neo-qled-4k-smart-tv-qn85a,samsung 85 inch neo qled 4k smart tv qn85a,"Rs  1,899,999",https://images.priceoye.pk/samsung-85-inch-neo-qled-4k-smart-tv-qn85a-pakistan-priceoye-88mq6-500x500.webp,85 Inches,QLED,3840 x 2160,No,Yes,Yes,null
samsung,https://priceoye.pk/led-tv/samsung/samsung-65-inch-uhd-4k-smart-tv-au7000,samsung 65 inch uhd 4k smart tv au7000,"Rs  299,999",https://images.priceoye.pk/samsung-65-inch-uhd-4k-smart-tv-au7000-pakistan-priceoye-3cd7z-500x500.webp,65 Inches,LED,3840 x 2160,No,Yes,Yes,N/A
samsung,https://priceoye.pk/led-tv/samsung/samsung-58-inch-4k-uhd-smart-led-tv-ru7100,samsung 58 inch 4k uhd smart led tv ru7100,"Rs  115,999",https://images.priceoye.pk/samsung-58-inch-4k-uhd-smart-led-tv-ru7100-pakistan-priceoye-7yinq-500x500.webp,58 Inches,LED,3840 x 2160,No,Yes,Yes,Yes
