brand,url,name,price,image,releaseDate,simSupport,dimensions,weight,os,screenSize,resolution,screenType,screenProtection,internalMemory,ram,cardSlot,processor,gpu,battery,frontCamera,frontFlash,frontVideoRec,backCamera,backFlash,backVideRec,bluetooth,3G,4G\LTE,5G,radio,wifi,nfc
infinix,"https://priceoye.pk/mobiles/infinix/infinix-note-30-pro
","infinix note 30 pro
","Rs  56,999",https://images.priceoye.pk/infinix-note-30-pro-pakistan-priceoye-lnuxr-500x500.webp,2023-05-22,"Dual SIM (Nano-SIM, dual stand-by)",162.7 x 76 x 8.2 mm,203 g,"Android 13, XOS 13",6.67 inches,1080 x 2400 pixels,"AMOLED, 1B colors, 120Hz, 900 nits (peak)",N/A,256 GB,8 GB,microSDXC (dedicated slot),Mediatek MT8781 Helio G99,Mali-G57 MC2,"Li-Po 5000 mAh, non-removable",32 MP,Yes,1080p@30fps,108 MP + 2 MP + 2 MP,Yes,"1440p@30fps, 1080p@30fps",Yes,Yes,Yes,No,Yes,Yes,Yes (market/region dependent)
infinix,"https://priceoye.pk/mobiles/infinix/infinix-note-30
","infinix note 30
","Rs  38,999",https://images.priceoye.pk/infinix-note-30-pakistan-priceoye-uh7xs-500x500.webp,2023-05-22,"Dual SIM (Nano-SIM, dual stand-by)",168.6 x 76.6 x 8.58 mm,219 g,Android 13,6.78 inches,1080 x 2460 pixels,"IPS LCD, 120Hz, 580 nits (peak)",N/A,128/256 GB,8 GB,Support Up To 2 TB,Mediatek Helio G99,Mali-G57 MC2,"Li-Po 5000 mAh, non-removable",16 MP,Yes,1080p@30fps,64 MP + 2 MP + AI Cam,Yes,"1440p@30fps, 1080p@30/60fps",Yes,Yes,Yes,No,Yes,Yes,Yes (market/region dependent)
infinix,"https://priceoye.pk/mobiles/infinix/infinix-zero-30-4g
","infinix zero 30 4g
","Rs  64,499",https://images.priceoye.pk/infinix-zero-30-4g-pakistan-priceoye-tse9r-500x500.webp,2023-10-26,"Dual SIM (Nano-SIM, dual stand-by)",164.5 x 75 x 7.9 mm,182 g,"XOS 13, Android 13",6.78 inches,1080 x 2400 pixels,AMOLED,Corning Gorilla Glass 5,256 GB,8 GB,No,MediaTek Helio G99,Arm Mali-G57 MC2,5000 mAh,50 MP,Yes,"1440p@30fps, 1080p@30/60fps",108 MP + 2 MP + 2 MP,Yes,"1440p@30fps, 1080p@30/60fps",Yes,Yes,Yes,No,FM radio,Yes,Yes
infinix,"https://priceoye.pk/mobiles/infinix/infinix-hot-40i
","infinix hot 40i
","Rs  28,099",https://images.priceoye.pk/infinix-hot-40i-pakistan-priceoye-s6asu-500x500.webp,2023-12-05,"Dual SIM (Nano-SIM, dual stand-by)",163.6 x 75.6 x 8.3 mm,190 g,"Android 13, XOS 13",6.56 Inches,720 x 1612 Pixels,"IPS LCD, 90Hz, 480 nits (peak)",N/A,256 GB,8 GB,microSDXC (dedicated slot),Unisoc T606,Mali-G57 MP1,5000 mAh,32 MP,Yes,1080p@30fps,50 MP + 0.08 MP,Yes,1080p@30fps,Yes,Yes,Yes,N/A,FM radio,Yes,Yes (market/region dependent)
infinix,"https://priceoye.pk/mobiles/infinix/infinix-hot-40
","infinix hot 40
","Rs  34,499",https://images.priceoye.pk/infinix-hot-40-pakistan-priceoye-b01ep-500x500.webp,2023-12-05,"Dual SIM (Nano-SIM, dual stand-by)",168.6 x 76.6 x 8.3 mm,196 g,"Android 13, XOS 13.5",6.78 Inches,1080 x 2460 Pixels,"IPS LCD, 90Hz, 500 nits (peak)",N/A,256 GB,8 GB,microSDXC (dedicated slot),Mediatek MT6769H Helio G88,Mali-G52 MC2,5000 mAh,32 MP,Yes,1080p@30fps,50 MP + 2 MP + 0.08 MP,Yes,"1440p@30fps, 1080p@30fps",Yes,Yes,Yes,No,FM radio,Yes,Yes
tecno,"https://priceoye.pk/mobiles/tecno/tecno-camon-20
","tecno camon 20
","Rs  40,799",https://images.priceoye.pk/tecno-camon-20-pakistan-priceoye-knm81-500x500.webp,2023-05-09,"Dual SIM (Nano-SIM, dual stand-by)",163.4 x 76.7 x 8.2 mm,N/A,"Android 13, HIOS 13",6.67 inches,1080 x 2400 pixels,AMOLED,N/A,256 GB,8 GB,Unspecified,Mediatek MT6769Z Helio G85,Mali-G52 MC2,"Li-Po 5000 mAh, non-removable",32 MP,Yes,1080p@30fps,64 MP + 2 MP + AI Cam,Yes,1080p@30fps,Yes,Yes,Yes,null,FM radio,Yes,No
samsung,"https://priceoye.pk/mobiles/samsung/samsung-galaxy-a14
","samsung galaxy a14
","Rs  33,999",https://images.priceoye.pk/samsung-galaxy-a14-pakistan-priceoye-0pseu-500x500.webp,2023-06-30,"Dual Sim, Dual Standby (Nano-SIM)",167.7 x 78 x 9.1 mm,201 g,Android 13,6.6 inches,1080 x 2408 pixels,FHD+ Infinity-V Immersive display,N/A,64/128 GB,4/6 GB,Micro SD up to 1TB,Exynos 850 (8nm),Powerful Octa Core 2.0GHz LPDDR4,"(Li-Po Non removable), 5000 mAh",13 MP,No,1080p@30fps,50 MP + 5 MP + 2 MP,Yes,1080p@30fps,Yes,Yes,Yes,No,No,Yes,No
infinix,"https://priceoye.pk/mobiles/infinix/infinix-hot-40-pro
","infinix hot 40 pro
","Rs  43,999",https://images.priceoye.pk/infinix-hot-40-pro-pakistan-priceoye-cun4m-500x500.webp,2023-12-05,"Dual SIM (Nano-SIM, dual stand-by)",168.6 x 76.6 x 8.3 mm,199 g,"Android 13, XOS 13.5",6.78 Inches,1080 x 2460 Pixels,"IPS LCD, 120Hz, 500 nits (peak)",null,256GB,8GB,microSDXC (dedicated slot),Mediatek Helio G99 (6nm),Mali-G57 MC2,"5000 mAh, non-removable",32 MP,Dual-LED flash,1080p@30fps,108 MP + 2 MP + 0.08 MP,Yes,"1440p@30fps, 1080p@30fps",Yes,Yes,Yes,No,FM radio,Yes,Yes
tecno,"https://priceoye.pk/mobiles/tecno/tecno-spark-go-2024
","tecno spark go 2024
","Rs  22,699",https://images.priceoye.pk/tecno-spark-go-2024-pakistan-priceoye-2qnx5-500x500.webp,2023-11-21,Dual SIM,163.69 x 75.6 x 8.75 mm,N/A,"Android 13 (Go edition), HIOS 13",6.6 Inches,720 x 1612 Pixels,HD+ Dynamic Dot - Notch,N/A,64 GB,4 GB,microSDXC,Unisoc T606,Mali-G57 MP1,5000 mAh,8 MP,Yes,Yes,13 MP + 0.08 MP,Yes,1080p@30fps,Yes,Yes,Yes,No,FM radio,Yes,No
tecno,"https://priceoye.pk/mobiles/tecno/tecno-spark-20c
","tecno spark 20c
","Rs  25,499",https://images.priceoye.pk/tecno-spark-20c-pakistan-priceoye-1zqew-500x500.webp,2023-11-27,"Dual SIM (Nano-SIM, dual stand-by)",163.7 x 75.6 x 8.6 mm,N/A,Android 13,6.6 Inches,720 x 1612 Pixels,IPS LCD,N/A,128 GB,8 GB,microSDXC,Mediatek,PowerVR GE8320,5000 mAh,8 MP,Yes,Yes,50 MP + 0.08 MP,Yes,1080p@30fps,Yes,Yes,Yes,N/A,FM radio,Yes,No
