brand,url,name,price,image,model,waterProof,wearingType,volumeControl,chargingTime,playTime,batteryCapBud,batteryCapCase,BTVersion,BTRange,microphone
infinix,"https://priceoye.pk/wireless-earbuds/infinix/infinix-xe22-wireless-earbuds
","infinix xe22 wireless earbuds
","Rs  2,799",https://images.priceoye.pk/videos/infinix-xe22-wireless-earbuds-pakistan-priceoye-m4otw.mp4,XE22,IPX4,In-Ear,N/A,1.5~2 hours,7 hours,40*2mAh,500mAh,v5.3,10m,2*1 Microphones
audionic,"https://priceoye.pk/wireless-earbuds/audionic/audionic-wireless-airbuds-425
","audionic wireless airbuds 425
","Rs  3,899",https://images.priceoye.pk/audionic-wireless-airbuds-425-pakistan-priceoye-x6grd-500x500.webp,425,N/A,In ear,Yes,1.5 Hrs,4.5 Hrs,30mAh,230 mAH,5.3,10 m,Yes
audionic,"https://priceoye.pk/wireless-earbuds/audionic/audionic-airbud-500
","audionic airbud 500
","Rs  4,199",https://images.priceoye.pk/audionic-airbud-500-pakistan-priceoye-lrvzn-500x500.webp,Airbud 500,IP54,In-Ear,Yes,"1.5 hours earbuds, 1.5 hours case",About 7 hours,N/A,N/A,v5.3,15m,Quad Mic
audionic,"https://priceoye.pk/wireless-earbuds/audionic/audionic-airbud-550
","audionic airbud 550
","Rs  3,799",https://images.priceoye.pk/audionic-airbud-550-pakistan-priceoye-48jq7-500x500.webp,Airbud 550,IPX4,In-Ear,Yes,"1.5 hours earbuds, 1.5 hours case",Up to 7 hours,N/A,N/A,v5.3,10m,Yes
lenovo,"https://priceoye.pk/wireless-earbuds/lenovo/lenovo-he05x-neckband-wireless
","lenovo he05x neckband wireless
","Rs  1,199",https://images.priceoye.pk/lenovo-he05x-neckband-wireless-pakistan-priceoye-cd8lm-500x500.webp,HE05X,N/A,In ear,Yes,1.5 Hrs,2-3 Hrs,N/A,N/A,5.0,10m,Yes
lenovo,"https://priceoye.pk/wireless-earbuds/lenovo/lenovo-he05-tws-wireless-earbuds
","lenovo he05 tws wireless earbuds
",Rs  999,https://images.priceoye.pk/lenovo-he05-tws-wireless-earbuds-pakistan-priceoye-oyoi5-500x500.webp,HE05,No,In ear,Yes,1.5 Hrs,3-4 Hrs,N/A,N/A,5.1,"20Hz - 20,000Hz",Yes
ronin,"https://priceoye.pk/wireless-earbuds/ronin/ronin-r-520-earbuds
","ronin r 520 earbuds
","Rs  4,699",https://images.priceoye.pk/ronin-r-520-earbuds-pakistan-priceoye-7lhvn-500x500.webp,R-520,IPX4,In Ear,yes,1.5 hours,4 to 5 hours,NA,NA,5.3,10,yes
airox,"https://priceoye.pk/wireless-earbuds/airox/airox-x400-airpods-pro-3rd-gen
","airox x400 airpods pro 3rd gen
","Rs  2,699",https://images.priceoye.pk/airox-x400-airpods-pro-3rd-gen-pakistan-priceoye-kmrqt-500x500.webp,X400,N/A,In ear,Yes,1.5 Hrs,6 HRS,N/A,N/A,5.2,10m,Yes
infinix,"https://priceoye.pk/wireless-earbuds/infinix/infinix-xe-20-wireless-earbuds
","infinix xe 20 wireless earbuds
","Rs  2,199",https://images.priceoye.pk/infinix-xe-20-wireless-earbuds-pakistan-priceoye-r9k44-500x500.webp,XE 20,Yes,In Ear,Yes,2 hours,3-4 hours,N/A,N/A,V5.0,10m,Yes
lenovo,"https://priceoye.pk/wireless-earbuds/lenovo/lenovo-xt92-tws-wireless-earbuds
","lenovo xt92 tws wireless earbuds
","Rs  2,849",https://images.priceoye.pk/lenovo-xt92-tws-wireless-earbuds-pakistan-priceoye-0k908-500x500.webp,XT92,N/A,In ear,Yes,1.5 Hrs,4 Hrs,30mAh,300mAh,5.1,"20Hz - 20,000Hz",Yes
